timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1720123475395,305,HTTP Request,200,OK,average parameters 2-1,text,true,,307,24040,4,4,http://localhost:5002/solve,305,0,1
1720123475494,280,HTTP Request,200,OK,average parameters 2-2,text,true,,307,24040,3,3,http://localhost:5002/solve,280,0,1
1720123475593,217,HTTP Request,200,OK,average parameters 2-3,text,true,,307,24024,3,3,http://localhost:5002/solve,217,0,2
1720123475693,231,HTTP Request,200,OK,average parameters 2-4,text,true,,307,24032,3,3,http://localhost:5002/solve,231,0,2
1720123475794,222,HTTP Request,200,OK,average parameters 2-5,text,true,,307,24104,3,3,http://localhost:5002/solve,222,0,1
1720123475894,224,HTTP Request,200,OK,average parameters 2-6,text,true,,307,24056,3,3,http://localhost:5002/solve,224,0,1
1720123475993,198,HTTP Request,200,OK,average parameters 2-7,text,true,,307,24024,2,2,http://localhost:5002/solve,198,0,1
1720123476093,214,HTTP Request,200,OK,average parameters 2-8,text,true,,307,24080,3,3,http://localhost:5002/solve,214,0,1
1720123476193,215,HTTP Request,200,OK,average parameters 2-9,text,true,,307,24032,2,2,http://localhost:5002/solve,215,0,2
1720123476294,226,HTTP Request,200,OK,average parameters 2-10,text,true,,307,24088,1,1,http://localhost:5002/solve,226,0,1
